,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,hour,day,month,Power_Level
0,25.184316133333333,22.8575074,0.0,0,15,5,0
1,25.184316133333333,22.8575074,0.0,0,15,5,0
2,25.184316133333333,22.8575074,0.0,0,15,5,0
3,25.184316133333333,22.8575074,0.0,0,15,5,0
4,25.184316133333333,22.8575074,0.0,0,15,5,0
5,25.184316133333333,22.8575074,0.0,0,15,5,0
6,25.184316133333333,22.8575074,0.0,0,15,5,0
7,25.184316133333333,22.8575074,0.0,0,15,5,0
8,25.184316133333333,22.8575074,0.0,0,15,5,0
9,25.184316133333333,22.8575074,0.0,0,15,5,0
10,25.184316133333333,22.8575074,0.0,0,15,5,0
11,25.184316133333333,22.8575074,0.0,0,15,5,0
12,25.184316133333333,22.8575074,0.0,0,15,5,0
13,25.184316133333333,22.8575074,0.0,0,15,5,0
14,25.184316133333333,22.8575074,0.0,0,15,5,0
15,25.184316133333333,22.8575074,0.0,0,15,5,0
16,25.184316133333333,22.8575074,0.0,0,15,5,0
17,25.184316133333333,22.8575074,0.0,0,15,5,0
18,25.184316133333333,22.8575074,0.0,0,15,5,0
19,25.184316133333333,22.8575074,0.0,0,15,5,0
20,25.184316133333333,22.8575074,0.0,0,15,5,0
21,25.08458866666667,22.761667866666663,0.0,0,15,5,0
22,25.08458866666667,22.761667866666663,0.0,0,15,5,0
23,25.08458866666667,22.761667866666663,0.0,0,15,5,0
24,25.08458866666667,22.761667866666663,0.0,0,15,5,0
25,25.08458866666667,22.761667866666663,0.0,0,15,5,0
26,25.08458866666667,22.761667866666663,0.0,0,15,5,0
27,25.08458866666667,22.761667866666663,0.0,0,15,5,0
28,25.08458866666667,22.761667866666663,0.0,0,15,5,0
29,25.08458866666667,22.761667866666663,0.0,0,15,5,0
30,25.08458866666667,22.761667866666663,0.0,0,15,5,0
31,25.08458866666667,22.761667866666663,0.0,0,15,5,0
32,25.08458866666667,22.761667866666663,0.0,0,15,5,0
33,25.08458866666667,22.761667866666663,0.0,0,15,5,0
34,25.08458866666667,22.761667866666663,0.0,0,15,5,0
35,25.08458866666667,22.761667866666663,0.0,0,15,5,0
36,25.08458866666667,22.761667866666663,0.0,0,15,5,0
37,25.08458866666667,22.761667866666663,0.0,0,15,5,0
38,25.08458866666667,22.761667866666663,0.0,0,15,5,0
39,25.08458866666667,22.761667866666663,0.0,0,15,5,0
40,25.08458866666667,22.761667866666663,0.0,0,15,5,0
41,25.08458866666667,22.761667866666663,0.0,0,15,5,0
42,24.935752600000004,22.59230553333333,0.0,0,15,5,0
43,24.935752600000004,22.59230553333333,0.0,0,15,5,0
44,24.935752600000004,22.59230553333333,0.0,0,15,5,0
45,24.935752600000004,22.59230553333333,0.0,0,15,5,0
46,24.935752600000004,22.59230553333333,0.0,0,15,5,0
47,24.935752600000004,22.59230553333333,0.0,0,15,5,0
48,24.935752600000004,22.59230553333333,0.0,0,15,5,0
49,24.935752600000004,22.59230553333333,0.0,0,15,5,0
50,24.935752600000004,22.59230553333333,0.0,0,15,5,0
51,24.935752600000004,22.59230553333333,0.0,0,15,5,0
52,24.935752600000004,22.59230553333333,0.0,0,15,5,0
53,24.935752600000004,22.59230553333333,0.0,0,15,5,0
54,24.935752600000004,22.59230553333333,0.0,0,15,5,0
55,24.935752600000004,22.59230553333333,0.0,0,15,5,0
56,24.935752600000004,22.59230553333333,0.0,0,15,5,0
57,24.935752600000004,22.59230553333333,0.0,0,15,5,0
58,24.935752600000004,22.59230553333333,0.0,0,15,5,0
59,24.935752600000004,22.59230553333333,0.0,0,15,5,0
60,24.935752600000004,22.59230553333333,0.0,0,15,5,0
61,24.935752600000004,22.59230553333333,0.0,0,15,5,0
62,24.935752600000004,22.59230553333333,0.0,0,15,5,0
63,24.8461304,22.36085213333333,0.0,0,15,5,0
64,24.8461304,22.36085213333333,0.0,0,15,5,0
65,24.8461304,22.36085213333333,0.0,0,15,5,0
66,24.8461304,22.36085213333333,0.0,0,15,5,0
67,24.8461304,22.36085213333333,0.0,0,15,5,0
68,24.8461304,22.36085213333333,0.0,0,15,5,0
69,24.8461304,22.36085213333333,0.0,0,15,5,0
70,24.8461304,22.36085213333333,0.0,0,15,5,0
71,24.8461304,22.36085213333333,0.0,0,15,5,0
72,24.8461304,22.36085213333333,0.0,0,15,5,0
73,24.8461304,22.36085213333333,0.0,0,15,5,0
74,24.8461304,22.36085213333333,0.0,0,15,5,0
75,24.8461304,22.36085213333333,0.0,0,15,5,0
76,24.8461304,22.36085213333333,0.0,0,15,5,0
77,24.8461304,22.36085213333333,0.0,0,15,5,0
78,24.8461304,22.36085213333333,0.0,0,15,5,0
79,24.8461304,22.36085213333333,0.0,0,15,5,0
80,24.8461304,22.36085213333333,0.0,0,15,5,0
81,24.8461304,22.36085213333333,0.0,0,15,5,0
82,24.8461304,22.36085213333333,0.0,0,15,5,0
83,24.8461304,22.36085213333333,0.0,0,15,5,0
84,24.621525357142858,22.165422642857145,0.0,1,15,5,0
85,24.621525357142858,22.165422642857145,0.0,1,15,5,0
86,24.621525357142858,22.165422642857145,0.0,1,15,5,0
87,24.621525357142858,22.165422642857145,0.0,1,15,5,0
88,24.621525357142858,22.165422642857145,0.0,1,15,5,0
89,24.621525357142858,22.165422642857145,0.0,1,15,5,0
90,24.621525357142858,22.165422642857145,0.0,1,15,5,0
91,24.621525357142858,22.165422642857145,0.0,1,15,5,0
92,24.621525357142858,22.165422642857145,0.0,1,15,5,0
93,24.621525357142858,22.165422642857145,0.0,1,15,5,0
